interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
2,9/5/2003,20:26,Male,21,Junior,LA Area,3,Female,49,Other,Rest of World,Close friend,Once a week,Male,50,Other,Rest of World,Close friend,Once a year,Male,18,Other,LA Area,Close friend,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8/31/2023,14:26,Male,22,Senior,Bay Area,5,Female,21,Senior,LA Area,Close friend,More than once a week,Male,24,Other,Bay Area,Close friend,More than once a week,Female,21,Sophomore,Rest of California,Close friend,More than once a week,Male,23,Other,Bay Area,Close friend,More than once a week,Female,22,Other,Bay Area,Close friend,Once a month
2,9/6/2023,17:02,Female,20,Junior,Rest of California,5,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,22,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week
3,9/6/2023,17:15,Female,20,Junior,LA Area,5,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week
1,8/31/2023,14:33,Female,21,Senior,Rest of California,5,Female,18,Sophomore,Rest of United States,Close friend,Once a week,Female,21,Senior,Rest of California,Close friend,Once a week,Female,45,Other,Rest of United States,Close friend,Once a week,Male,22,Senior,Rest of California,Friend,Once a week,Male,23,Other,Rest of California,Friend,Once a week
2,9/2/2023,12:14,Female,20,Junior,Rest of California,3,Female,53,Other,Rest of United States,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,Once a week,Male,21,Senior,Rest of United States,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9/2/2023,12:29,Female,18,Freshman,Rest of California,4,Female,21,Senior,Rest of California,Close friend,Once a week,Female,50,Other,Rest of California,Close friend,Once a week,Female,15,Freshman,Rest of California,Close friend,Once a week,Male,18,Freshman,Rest of California,Friend,Once a month,NA,NA,NA,NA,NA,NA
1,8/31/2023,14:25,Female,20,Junior,Bay Area,5,Male,23,Other,Rest of United States,Close friend,More than once a week,Male,23,Other,LA Area,Close friend,Once a week,Male,25,Other,Bay Area,Close friend,Once a week,Female,20,Other,Bay Area,Close friend,Once a month,Female,20,Senior,Rest of World,Friend,Once a month
2,9/4/2023,13:30,Male,26,Senior,Rest of United States,4,Male,22,Other,Rest of World,Friend,More than once a week,Male,24,Senior,LA Area,Friend,Once a week,Female,25,Other,Rest of World,Friend,More than once a week,Male,21,Junior,Rest of World,Friend,Once a week,NA,NA,NA,NA,NA,NA
3,9/6/2023,13:00,Female,25,Senior,Rest of United States,6+,Male,22,Junior,Rest of World,Close friend,More than once a week,Male,23,Junior,Bay Area,Close friend,More than once a week,Female,21,Junior,LA Area,Close friend,More than once a week,Male,24,Senior,Rest of United States,Friend,Once a month,Female,20,Sophomore,LA Area,Friend,Once a month
1,8/31/2023,14:25,Male,20,Junior,Bay Area,5,Male,19,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Friend,More than once a week
2,9/4/2023,20:51,Male,21,Senior,Rest of United States,6+,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a month,Male,20,Junior,Rest of United States,Close friend,Once a month,Male,21,Senior,Bay Area,Close friend,Once a week,Male,21,Senior,Rest of United States,Close friend,Once a week
3,9/6/2023,13:35,Female,21,Senior,Bay Area,5,Male,22,Senior,Rest of United States,Close friend,More than once a week,Female,23,Senior,Bay Area,Close friend,More than once a week,Female,20,Senior,Bay Area,Close friend,Once a week,Female,18,Other,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week
1,8/31/2023,14:33,Female,21,Senior,LA Area,5,Female,21,Senior,Rest of World,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,33,Other,LA Area,Close friend,Once a month,Male,19,Sophomore,LA Area,Close friend,Once a month
2,9/6/2023,19:59,Female,20,Junior,LA Area,5,Female,19,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week
3,9/6/2023,20:06,Female,20,Junior,Bay Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of United States,Friend,Once a week,Female,17,Other,Bay Area,Close friend,More than once a week
1,8/31/2023,14:27,Male,19,Sophomore,Bay Area,5,Female,19,Sophomore,Rest of California,Close friend,More than once a week,Male,19,Sophomore,Bay Area,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,Once a week,Female,45,Other,Bay Area,Close friend,More than once a week,Male,48,Other,Bay Area,Close friend,More than once a week
2,NA,18:43,Male,20,Junior,Rest of United States,5,Male,21,Senior,LA Area,Friend,Once a week,Male,20,Senior,LA Area,Friend,More than once a week,Male,19,Junior,Rest of United States,Acquaintance,Once a month,Female,20,Senior,Rest of United States,Friend,Once a year,Female,47,Other,Rest of United States,Close friend,More than once a week
3,9/6/2023,20:20,Male,20,Senior,LA Area,4,Male,20,Senior,LA Area,Friend,Once a week,Male,19,Junior,Rest of California,Friend,Once a month,Male,20,Senior,Rest of California,Friend,Once a week,Female,20,Junior,LA Area,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
1,9/8/2023,16:37,Male,23,Senior,LA Area,5,Male,24,Other,LA Area,Close friend,Once a week,Male,22,Junior,LA Area,Close friend,Once a week,Male,22,Other,LA Area,Close friend,Once a week,Male,22,Other,LA Area,Close friend,Once a week,Female,46,Other,LA Area,Close friend,Once a week
